"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"73","Alessandra Aguilar Morn","F",30,165,50,18.3654729109275,2008,"Spain","Southern Europe","Europe",45954106,1.63502e+12,0,1,FALSE,54,FALSE,"2:39:29",159.483333333333,9569
"74","Yesenia Centeno Sousa","F",37,157,47,19.0677106576332,2008,"Spain","Southern Europe","Europe",45954106,1.63502e+12,0,1,FALSE,45,FALSE,"2:36:25",156.416666666667,9385
"75","Mara Dolores Pulido Fernndez","F",29,155,41,17.0655567117586,2004,"Spain","Southern Europe","Europe",42921895,1.06956e+12,0,1,FALSE,37,FALSE,"2:44:33",164.55,9873
"76","Beatriz Ros Blanco","F",30,169,50,17.5063898322888,2004,"Spain","Southern Europe","Europe",42921895,1.06956e+12,0,1,FALSE,32,FALSE,"2:41:51",161.85,9711
"77","Vanessa Veiga Comesaa","F",33,159,43,17.0088208536055,2012,"Spain","Southern Europe","Europe",46773055,1.33602e+12,0,1,FALSE,97,FALSE,"2:46:53",166.883333333333,10013
"78","Lily Luik","F",30,163,48,18.066167337875,2016,"Estonia","Northern Europe","Europe",1316481,23337907619,0,0,FALSE,97,FALSE,"2:48:29",168.483333333333,10109
"79","Leila Luik","F",30,165,48,17.6308539944904,2016,"Estonia","Northern Europe","Europe",1316481,23337907619,0,0,FALSE,114,FALSE,"2:54:38",174.633333333333,10478
"80","Evelin Talts","F",35,158,54,21.6311488543503,2012,"Estonia","Northern Europe","Europe",1322696,23043864510,0,0,FALSE,103,FALSE,"2:54:15",174.25,10455
"81","Fatuma Roba","F",26,160,49,19.140625,2000,"Ethiopia","Sub-Saharan Africa","Africa",66537331,8242392104,2,5,FALSE,9,FALSE,"2:27:38",147.633333333333,8858
"82","Tirfi Tsegaye Beyene","F",31,162,52,19.8140527358634,2016,"Ethiopia","Sub-Saharan Africa","Africa",102403196,72374224249,2,5,FALSE,4,FALSE,"2:24:47",144.783333333333,8687
"83","Elfenesh Alemu","F",25,165,51,18.732782369146,2000,"Ethiopia","Sub-Saharan Africa","Africa",66537331,8242392104,2,5,FALSE,6,FALSE,"2:26:54",146.9,8814
"84","Dire Tune Arissi","F",23,158,42,16.8242268867169,2008,"Ethiopia","Sub-Saharan Africa","Africa",83184892,27066912635,2,5,FALSE,15,FALSE,"2:31:16",151.266666666667,9076
"85","Gadissie Edato","F",27,156,43,17.6692965154504,2000,"Ethiopia","Sub-Saharan Africa","Africa",66537331,8242392104,2,5,FALSE,36,FALSE,"2:42:29",162.483333333333,9749
"86","Erba Tiki Gelana","F",24,165,48,17.6308539944904,2012,"Ethiopia","Sub-Saharan Africa","Africa",92444183,43310721414,2,5,FALSE,1,TRUE,"2:23:07",143.116666666667,8587
"87","Aselefech Mergia","F",27,168,50,17.7154195011338,2012,"Ethiopia","Sub-Saharan Africa","Africa",92444183,43310721414,2,5,FALSE,42,FALSE,"2:32:03",152.05,9123
"88","Mare Dibaba Hurssa (-Ibrahimova-)","F",22,156,45,18.491124260355,2012,"Ethiopia","Sub-Saharan Africa","Africa",92444183,43310721414,2,5,FALSE,23,FALSE,"2:28:48",148.8,8928
"89","Mare Dibaba Hurssa (-Ibrahimova-)","F",26,156,45,18.491124260355,2016,"Ethiopia","Sub-Saharan Africa","Africa",102403196,72374224249,2,5,FALSE,3,TRUE,"2:24:30",144.5,8670
"90","Elfenesh Alemu","F",29,165,51,18.732782369146,2004,"Ethiopia","Sub-Saharan Africa","Africa",74624405,10131187261,2,5,FALSE,4,FALSE,"2:28:15",148.25,8895
