athlete,year,performance,place,date
Rosa Alba Chacha Chacha,2018,2:35:29,Buenos Aires (ARG),23 SEP 2018
Rosa Alba Chacha Chacha,2017,2:37:06,Praha (CZE),07 MAY 2017
Rosa Alba Chacha Chacha,2016,2:48:52,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Rosa Alba Chacha Chacha,2015,2:35:29,Sevilla (ESP),22 FEB 2015
Rosa Alba Chacha Chacha,2013,2:42:03,Buenos Aires (ARG),13 OCT 2013
Rosa Alba Chacha Chacha,2012,2:40:57,"Olympic Stadium, London (GBR)",05 AUG 2012
Rosa Alba Chacha Chacha,2011,2:37:27,Santiago de Chile (CHI),03 APR 2011
Rosa Alba Chacha Chacha,2010,2:37:17,Buenos Aires (ARG),10 OCT 2010
Martha Tenorio Pancar,2010,2:56:21,Quito (ECU),18 JUL 2010
Martha Tenorio Pancar,2007,2:46:41,"Denver, CO (USA)",14 OCT 2007
Martha Tenorio Pancar,2004,2:41:14,Torreón (MEX),07 MAR 2004
Martha Tenorio Pancar,2003,2:42:03,Torreón (MEX),02 MAR 2003
Martha Tenorio Pancar,2000,2:33:54,"Olympic Stadium, Sydney (AUS)",24 SEP 2000
Martha Tenorio Pancar,1999,2:39:13,Sapporo (JPN),29 AUG 1999
Martha Tenorio Pancar,1998,2:36:40,Brasilia (BRA),21 APR 1998
Lily Luik,2016,2:48:29,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Lily Luik,2015,2:40:30,Valencia (ESP),15 NOV 2015
Lily Luik,2014,2:41:58,Torino (ITA),16 NOV 2014
Lily Luik,2013,2:50:17,Tallinn (EST),08 SEP 2013
Lily Luik,2012,2:55:27,Firenze (ITA),25 NOV 2012
Leila Luik,2016,2:42:11,Hamburg (GER),17 APR 2016
Leila Luik,2014,2:45:59,"Letzigrund, Zürich (SUI)",16 AUG 2014
Leila Luik,2013,2:37:12,Shanghai (CHN),01 DEC 2013
Leila Luik,2012,2:40:12,Amsterdam (NED),21 OCT 2012
Leila Luik,2011,2:52:05,Tallinn (EST),11 SEP 2011
Evelin Talts,2019,3:08:20,Tallinn (EST),08 SEP 2019
Evelin Talts,2017,3:05:41,Tallinn (EST),10 SEP 2017
Evelin Talts,2015,2:55:29,Tallinn (EST),13 SEP 2015
Evelin Talts,2014,2:56:26,Tallinn (EST),14 SEP 2014
Evelin Talts,2013,2:41:54,Paris (FRA),07 APR 2013
Evelin Talts,2012,2:39:18,Rotterdam (NED),15 APR 2012
Evelin Talts,2011,2:59:19,Tallinn (EST),11 SEP 2011
Fatuma Roba,2004,2:28:05,Nagano (JPN),11 APR 2004
Fatuma Roba,2003,2:31:05,Nagano (JPN),20 APR 2003
Fatuma Roba,2002,2:27:16,Nagano (JPN),14 APR 2002
Fatuma Roba,2001,2:27:22,"San Diego, CA (USA)",03 JUN 2001
Fatuma Roba,2000,2:27:38,"Olympic Stadium, Sydney (AUS)",24 SEP 2000
Fatuma Roba,1999,2:27:05,Tokyo (JPN),21 NOV 1999
Fatuma Roba,1998,2:36:22,Tokyo (JPN),15 NOV 1998
Fatuma Roba,1997,2:30:39,Tokyo (JPN),30 NOV 1997
Fatuma Roba,1996,2:26:05,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
Fatuma Roba,1994,2:35:25,Paris (FRA),24 APR 1994
Tirfi Tsegaye Beyene,2019,2:28:30,Hengshui (CHN),29 SEP 2019
Tirfi Tsegaye Beyene,2016,2:19:41,Dubai (UAE),22 JAN 2016
Tirfi Tsegaye Beyene,2015,2:23:41,London (GBR),26 APR 2015
Tirfi Tsegaye Beyene,2014,2:20:18,Berlin (GER),28 SEP 2014
Tirfi Tsegaye Beyene,2013,2:23:23,Dubai (UAE),25 JAN 2013
Tirfi Tsegaye Beyene,2012,2:21:19,Berlin (GER),30 SEP 2012
Tirfi Tsegaye Beyene,2010,2:22:44,Toronto (CAN),26 SEP 2010
Tirfi Tsegaye Beyene,2009,2:28:16,Shanghai (CHN),29 NOV 2009
Tirfi Tsegaye Beyene,2008,2:35:32,Porto (POR),26 OCT 2008
Elfenesh Alemu,2011,2:29:04,Mumbai (IND),16 JAN 2011
Elfenesh Alemu,2009,2:35:36,"Chicago, IL (USA)",11 OCT 2009
Elfenesh Alemu,2005,2:26:50,Tokyo (JPN),20 NOV 2005
Elfenesh Alemu,2004,2:26:58,Tokyo (JPN),21 NOV 2004
Elfenesh Alemu,2003,2:24:47,Tokyo (JPN),16 NOV 2003
Elfenesh Alemu,2002,2:29:31,Tokyo (JPN),17 NOV 2002
Elfenesh Alemu,2001,2:24:29,London (GBR),22 APR 2001
Elfenesh Alemu,2000,2:24:47,Osaka (JPN),30 JAN 2000
Elfenesh Alemu,1999,2:28:52,"La Cartuja, Sevilla (ESP)",29 AUG 1999
Elfenesh Alemu,1998,2:30:19,Amsterdam (NED),01 NOV 1998
Elfenesh Alemu,1997,2:37:36,Amsterdam (NED),02 NOV 1997
Elfenesh Alemu,1996,2:36:29,Roma (ITA),24 MAR 1996
Dire Tune Arissi,2017,2:28:55,Firenze (ITA),26 NOV 2017
Dire Tune Arissi,2010,2:23:44,Frankfurt (GER),31 OCT 2010
Dire Tune Arissi,2009,2:32:42,"Olympiastadion, Berlin (GER)",23 AUG 2009
Dire Tune Arissi,2008,2:24:39,"Houston, TX (USA)",13 JAN 2008
Dire Tune Arissi,2007,2:26:52,"Houston, TX (USA)",14 JAN 2007
Dire Tune Arissi,2006,2:35:15,Hong Kong (HKG),12 FEB 2006
Dire Tune Arissi,2005,2:30:48,"Los Angeles, CA (USA)",06 MAR 2005
Gadissie Edato,2002,2:33:36,Roma (ITA),24 MAR 2002
Gadissie Edato,2001,2:42:08,Roma (ITA),25 MAR 2001
Gadissie Edato,2000,2:32:11,Roma (ITA),01 JAN 2000
Gadissie Edato,1999,2:29:57,Venezia (ITA),24 OCT 1999
Gadissie Edato,1998,2:36:57,Venezia (ITA),25 OCT 1998
Gadissie Edato,1997,2:40:55,St. Paul (USA),05 OCT 1997
Gadissie Edato,1996,2:36:46,Torino (ITA),12 MAY 1996
Erba Tiki Gelana,2015,2:24:26,Tokyo (JPN),22 FEB 2015
Erba Tiki Gelana,2014,2:26:58,London (GBR),13 APR 2014
Erba Tiki Gelana,2013,2:36:55,London (GBR),21 APR 2013
Erba Tiki Gelana,2012,2:18:58,Rotterdam (NED),15 APR 2012
Erba Tiki Gelana,2011,2:22:08,Amsterdam (NED),16 OCT 2011
Erba Tiki Gelana,2010,2:29:27,"Los Angeles, CA (USA)",21 MAR 2010
Erba Tiki Gelana,2009,2:33:49,Dublin (IRL),26 OCT 2009
Aselefech Mergia,2017,2:23:08,London (GBR),23 APR 2017
Aselefech Mergia,2016,2:23:57,London (GBR),24 APR 2016
Aselefech Mergia,2015,2:20:02,Dubai (UAE),23 JAN 2015
Aselefech Mergia,2012,2:19:31,Dubai (UAE),27 JAN 2012
Aselefech Mergia,2011,2:22:45,Dubai (UAE),21 JAN 2011
Aselefech Mergia,2010,2:22:38,London (GBR),25 APR 2010
Aselefech Mergia,2009,2:25:02,Paris (FRA),05 APR 2009
Mare Dibaba Hurssa (-Ibrahimova-),2019,2:20:21,Berlin (GER),29 SEP 2019
Mare Dibaba Hurssa (-Ibrahimova-),2018,2:25:24,Frankfurt (GER),28 OCT 2018
Mare Dibaba Hurssa (-Ibrahimova-),2017,2:28:49,"Olympic Stadium, London (GBR)",06 AUG 2017
Mare Dibaba Hurssa (-Ibrahimova-),2016,2:24:09,London (GBR),24 APR 2016
Mare Dibaba Hurssa (-Ibrahimova-),2015,2:19:52,Xiamen (CHN),03 JAN 2015
Mare Dibaba Hurssa (-Ibrahimova-),2014,2:21:36,Xiamen (CHN),02 JAN 2014
Mare Dibaba Hurssa (-Ibrahimova-),2012,2:19:52,Dubai (UAE),27 JAN 2012
Mare Dibaba Hurssa (-Ibrahimova-),2011,2:23:25,Toronto (CAN),16 OCT 2011
Mare Dibaba Hurssa (-Ibrahimova-),2010,2:25:27,Frankfurt (GER),31 OCT 2010
Sinikka Marja-Liisa Keskitalo (Leppl-),1989,2:36:06,"Columbus, OH (USA)",12 NOV 1989
Sinikka Marja-Liisa Keskitalo (Leppl-),1988,2:43:00,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
Sinikka Marja-Liisa Keskitalo (Leppl-),1987,2:33:48,"Columbus, OH (USA)",08 NOV 1987
Sinikka Marja-Liisa Keskitalo (Leppl-),1986,2:33:18,"Boston, MA (USA)",21 APR 1986
Sinikka Marja-Liisa Keskitalo (Leppl-),1985,2:33:53,Valkeakoski (FIN),19 MAY 1985
Sinikka Marja-Liisa Keskitalo (Leppl-),1984,2:35:15,"Memorial Coliseum, Los Angeles, CA (USA)",05 AUG 1984
Sinikka Marja-Liisa Keskitalo (Leppl-),1983,2:36:44,Tammisaari (FIN),18 SEP 1983
Sinikka Marja-Liisa Keskitalo (Leppl-),1982,2:42:11,Vantaa (FIN),24 OCT 1982
Leena Puotiniemi,2013,2:42:03,Helsinki (FIN),17 AUG 2013
Leena Puotiniemi,2012,2:38:05,Helsinki (FIN),18 AUG 2012
Leena Puotiniemi,2011,2:35:54,Berlin (GER),25 SEP 2011
Leena Puotiniemi,2010,2:44:55,Berlin (GER),26 SEP 2010
Leena Puotiniemi,2009,2:53:55,Berlin (GER),20 SEP 2009
Christelle Daunay,2017,2:32:09,"New York, NY (USA)",05 NOV 2017
Christelle Daunay,2015,2:26:57,"New York, NY (USA)",01 NOV 2015
Christelle Daunay,2014,2:25:14,"Letzigrund, Zürich (SUI)",16 AUG 2014
Christelle Daunay,2013,2:28:14,"New York, NY (USA)",03 NOV 2013
Christelle Daunay,2011,2:26:41,"Chicago, IL (USA)",09 OCT 2011
Christelle Daunay,2010,2:24:22,Paris (FRA),11 APR 2010
Christelle Daunay,2009,2:25:43,Paris (FRA),05 APR 2009
Christelle Daunay,2008,2:28:24,Osaka (JPN),27 JAN 2008
Christelle Daunay,2007,2:28:54,Paris (FRA),15 APR 2007
Jocelyne Villeton (Tranchant-),1991,2:37:04,London (GBR),21 APR 1991
Jocelyne Villeton (Tranchant-),1989,2:36:55,"Chicago, IL (USA)",29 OCT 1989
Jocelyne Villeton (Tranchant-),1988,2:34:02,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
Jocelyne Villeton (Tranchant-),1987,2:32:03,"New York, NY (USA)",01 NOV 1987
Jocelyne Villeton (Tranchant-),1986,2:32:23,Paris (FRA),04 MAY 1986
Jocelyne Villeton (Tranchant-),1985,2:35:50,Montreal (CAN),22 SEP 1985
Corinne Raux,2005,2:28:48,Paris (FRA),10 APR 2005
Corinne Raux,2004,2:29:19,Paris (FRA),04 APR 2004
Anja Scherl,2020,2:28:25,Sevilla (ESP),23 FEB 2020
Anja Scherl,2019,2:32:31,Hannover (GER),07 APR 2019
Anja Scherl,2018,2:29:29,Osaka (JPN),28 JAN 2018
Anja Scherl,2017,2:28:54,Valencia (ESP),19 NOV 2017
Anja Scherl,2016,2:27:50,Hamburg (GER),17 APR 2016
Anja Scherl,2015,2:36:31,Hamburg (GER),26 APR 2015
Anja Scherl,2014,2:48:13,Hamburg (GER),04 MAY 2014
Irina Mikitenko (Volynskaya-),2019,2:57:25,"New York, NY (USA)",03 NOV 2019
Irina Mikitenko (Volynskaya-),2013,2:24:54,Berlin (GER),29 SEP 2013
Irina Mikitenko (Volynskaya-),2012,2:24:53,London (GBR),22 APR 2012
Irina Mikitenko (Volynskaya-),2011,2:22:18,Berlin (GER),25 SEP 2011
Irina Mikitenko (Volynskaya-),2010,2:26:40,"Chicago, IL (USA)",10 OCT 2010
Irina Mikitenko (Volynskaya-),2009,2:22:11,London (GBR),26 APR 2009
Irina Mikitenko (Volynskaya-),2008,2:19:19,Berlin (GER),28 SEP 2008
Irina Mikitenko (Volynskaya-),2007,2:24:51,Berlin (GER),30 SEP 2007
Anna Hahner,2019,2:36:09,Düsseldorf (GER),28 APR 2019
Anna Hahner,2017,2:28:32,Berlin (GER),24 SEP 2017
Anna Hahner,2016,2:30:35,Hannover (GER),10 APR 2016
Anna Hahner,2015,2:30:19,Berlin (GER),27 SEP 2015
Anna Hahner,2014,2:26:44,Berlin (GER),28 SEP 2014
Anna Hahner,2013,2:27:55,Frankfurt (GER),27 OCT 2013
Anna Hahner,2012,2:30:14,Düsseldorf (GER),29 APR 2012
Melanie Kraus,2010,2:36:00,Düsseldorf (GER),02 MAY 2010
Melanie Kraus,2008,2:28:20,Frankfurt (GER),26 OCT 2008
Melanie Kraus,2007,2:28:56,Frankfurt (GER),28 OCT 2007
Melanie Kraus,2006,2:35:37,Berlin (GER),24 SEP 2006
Melanie Kraus,2005,2:34:23,Berlin (GER),25 SEP 2005
Melanie Kraus,2002,2:44:56,München (GER),10 AUG 2002
Melanie Kraus,2001,2:31:29,Frankfurt (GER),28 OCT 2001
Melanie Kraus,2000,2:27:57,Berlin (GER),10 SEP 2000
Lisa Hahner,2016,2:34:56,Hannover (GER),10 APR 2016
Lisa Hahner,2015,2:28:39,Frankfurt (GER),25 OCT 2015
Lisa Hahner,2013,2:30:17,Frankfurt (GER),27 OCT 2013
Lisa Hahner,2012,2:31:28,Frankfurt (GER),28 OCT 2012
Susanne Hahn (Ritter-),2012,2:30:22,"Olympic Stadium, London (GBR)",05 AUG 2012
Susanne Hahn (Ritter-),2011,2:28:49,Frankfurt (GER),30 OCT 2011
Susanne Hahn (Ritter-),2009,2:29:26,Düsseldorf (GER),03 MAY 2009
Susanne Hahn (Ritter-),2008,2:29:35,Mainz (GER),04 MAY 2008
Susanne Hahn (Ritter-),2007,2:33:25,Paris (FRA),15 APR 2007
Susanne Hahn (Ritter-),2006,2:32:34,Rotterdam (NED),09 APR 2006
Luminita Zaituc,2009,2:35:06,Frankfurt (GER),25 OCT 2009
Luminita Zaituc,2008,2:30:00,Köln (GER),05 OCT 2008
Luminita Zaituc,2007,2:29:37,Düsseldorf (GER),06 MAY 2007
Luminita Zaituc,2006,2:28:30,Köln (GER),08 OCT 2006
Luminita Zaituc,2005,2:26:46,Düsseldorf (GER),08 MAY 2005
Luminita Zaituc,2004,2:36:45,"Olympic Stadium, Athina (GRE)",22 AUG 2004
Luminita Zaituc,2003,2:29:41,Frankfurt (GER),26 OCT 2003
Luminita Zaituc,2002,2:26:58,München (GER),10 AUG 2002
Luminita Zaituc,2001,2:26:01,Frankfurt (GER),28 OCT 2001
Sofia Riga,2016,2:49:07,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Sofia Riga,2015,2:39:53,Berlin (GER),27 SEP 2015
Sofia Riga,2013,2:39:10,Berlin (GER),29 SEP 2013
Sofia Riga,2012,2:47:09,Firenze (ITA),25 NOV 2012
