Name,Score
Kohei Futaoka,1089
Henry Kiprop,1089
Yuki Munakata,1088
Thonakal Gopi,1088
Martin Mendez,1088
Tyler Jermann,1088
Patricio Castillo,1087
Bart Van Nunen,1087
Yuichi Okutani,1087
Charles Wachira Maina,1087
Igor Olefirenko,1087
Redouan Nouini,1087
Daisuke Horiai,1087
Mark Kangogo,1087
Koji Kobayashi,1087
Moses Too,1086
Erenjia Jia,1086
Hosea Tuwei,1086
Yuya Asaka,1086
Tadesse Asefa,1085
Ryo Kuchimachi,1085
Nobuyuki Matsumoto,1084
Collen Mulaudzi,1084
Habtamu Arega,1084
Soressa Chala,1084
David Kogei,1084
Tadashi Suzuki,1083
Adhanom Abraha,1083
Patrick Smyth,1083
Edwin De Vries,1082
Fikre Workneh,1082
Felix Keny,1082
Weldon Kirui,1082
Andrew Epperson,1082
Keisuke Tanaka,1081
Philemon Cheboi,1081
Koki Takada,1080
Caden Shields,1080
Sae Makino,1080
Paul Kuira,1079
Takuma Shibata,1079
Munkhbayar Narandulam,1079
Abderrahmane El Mojibi,1079
Adil Oulad Lidame,1079
Thabiso Benedict Moeng,1079
Peng Gao,1078
Reid Coolsaet,1078
Ryo Ishida,1078
Mustapha El Ouartassy,1078
Masaru Aoki,1077
Ryan Vail,1077
Ben St. Lawrence,1077
Harbert Okuti,1077
Joseph Whelan,1077
Samuel Karani,1077
Nick Van Peborgh,1076
Arkadiusz Gardzielewski,1076
Benjamin Choquert,1076
Joshua Griffiths,1076
Kansuke Morihashi,1076
Takahiro Gunji,1076
Matthew Kiprotich,1076
Fumihiro Maruyama,1075
David Manja,1075
Emmanuel Sikuku,1075
Hiroto Kunishi,1075
Denis Chirchir,1075
Joe Stilin,1074
Koki Tanaka,1074
Samwel Maswai,1074
Jesús Arturo Esparza,1074
Remigijus Kančys,1074
Cairen Suolang,1073
Thomas De Bock,1073
Yohans Mekasha,1073
Ahmed Osman,1073
Wang Xu,1072
Keisuke Kusaka,1072
Matthew Clowes,1072
Tim Ritchie,1072
Nao Kazami,1072
Derek Hawkins,1072
Uladzislau Pramau,1071
Anouar El Ghouz,1071
Andrew Davies,1071
Shusei Ohashi,1071
Pius Karanja,1071
Juan Alberto Mena,1071
Felix Kipchumba,1071
Feyissa Mulgeta,1071
Andrey Leyman,1070
Alan Peterson,1070
Ercan Arslan,1070
Ahmed Tamri,1070
Dennis Rutoh,1070
Rui Pinto,1069
Takashi Ichida,1069
Kazuki Noda,1069
Gary O'Hanlon,1069
Getachew Kene Tufa,1069
Issac Kibiwot,1069
Patrik Wägeli,1069
Takuji Morimoto,1068
Roman Fosti,1068
Masanori Sakai,1068
Colin Leak,1068
Tyler Mccandless,1067
Chia-Che Chang,1067
Yuki Okano,1066
Craig Hunt,1066
Shingo Mizota,1066
Hammington Kimaiyo,1066
Nic Harman,1065
Hyun-Su Shin,1065
Fyodor Shutov,1065
Eneko Agirrezabal,1064
Roman Romanenko,1064
Dan Kremske,1064
Evans Kigen,1064
Yuta Inage,1064
Hidenori Nagai,1063
Abdenasir Fathi,1063
Sintayehu Legese,1063
Ben Sathre,1063
Julian Spence,1062
Hiroshi Ichida,1062
Evan Esselink,1062
Edson Arruda Santos,1062
Ricardo Rosado,1062
Geoffrey Ronoh,1062
Daniel Jones,1062
Nixon Cherutich,1062
Geoffrey Birgen,1062
Isaias Habtemicael Beyn,1061
Shota Miyagami,1061
Guoshun Luo,1060
Jawad El Jazouli,1060
Aleksey Troshkin,1060
Abraham Kiplagat,1059
Wilfried Korir,1059
Wesley Korir,1059
Peter Cheruiyot Kirui,1058
Grant Fischer,1058
John Will Nation,1058
David Tarus,1058
Nicholas Chelimo Kipkorir,1058
Ömer Alkanoglu,1058
Abel Rop,1058
Isaac Kimutai,1057
Milton Rotich Kiplagat,1057
Yuriy Chechun,1057
Julius Kipyego Keter,1057
Mijue Nima,1056
Luis Alberto Orta,1056
Boniface Kongin,1056
James Tallam Cheruitich,1056
Ri Yong Nam,1056
Jiří Homoláč,1055
Yusuke Tobimatsu,1055
Young-Jin Kim,1055
Rene Ortiz,1055
Wycliffe Biwott,1055
Kazuki Muramoto,1055
Akihiro Kaneko,1055
Kevin Lewis,1054
Tobias Blum,1054
Sammy Rotich,1054
Üzeyir Söylemez,1054
Tyler Pence,1054
Shadrack Kipkogey,1054
Ngonidzashe Ncube,1054
George Manyiror,1054
Tianyu Chen,1053
Sergiu Ciobanu,1053
Abdelkabir Saji,1053
Simon Kirui Kiprugut,1053
Richard Kiplimo,1053
Iskander Yadgarov,1052
Shingo Igarashi,1052
Yongyuan Li,1052
Deriba Degefa,1052
Simon Stützel,1052
Shuhei Shirota,1051
Philani Buthelezi,1051
Aaron Braun,1051
Michel Butter,1051
Bernard Rotich,1051
Raymond Kemboi,1051
Mick Iacofano,1051
Daniel Vargas De Jésus,1050
Melaku Belachew,1050
Felix Kirui,1049
Urgesa Kedir,1049
Boniface Nduva,1049
Luis Carlos Rivero,1049
Danny Docherty,1049
Paul Kosgei,1049
Tsuyoshi Yotsuji,1049
Szymon Kulka,1048
Seth Totten,1048
Takuya Noguchi,1048
Liang Tie,1048
Dominic Mibei,1048
Charlie Hulson,1048
Josphat Kiptanui Too,1048
Scott Overall,1048
Giovanni Grano,1048
Benjamin Serem,1048
Micah Kemboi Kogo,1048
Gemechu Edeo Kelu,1048
Olkeba Jene,1048
Reuben Kemboi,1048
Geoffrey Kiprotich Birgen,1048
Vagner Da Silva Noronha,1047
Brimin Kiprop Kipruto,1047
Aragaw Yitbarek Meseret,1047
Marcos Condorhuaman,1047
Patrick Cheruiyot,1046
Nicholas Caprario,1046
Deribe Tefera,1046
Ui-Jin Jung,1045
Yukio Fujimura,1045
Yuki Takamiya,1045
Daiki Taguchi,1044
Sean Hehir,1044
Ezekiel Kimeli,1044
Robert Wambua Mbithi,1044
Ronald Kurgat,1044
Shun Yuzawa,1043
Shuji Yoshikawa,1043
Rahal Bouchfar,1042
Evans Kiplagat,1042
Julius Muriuki,1042
Bernard Cheptoch,1042
Shunpei Oda,1042
Ryan Root,1042
Muleta Meda,1042
Nathan Ayeko,1041
Victor Kipchirchir,1041
Artyom Alekseyev,1041
Andreas Myhre Sjurseth,1041
Takumi Honda,1040
Christian Steinhammer,1040
Kohei Oshita,1040
Haile Haja Gemeda,1040
Geza Senebeta,1040
Louis Serafini,1039
Aaron Scott,1039
Ezra Kering,1039
Jeffrey Eggleston,1039
Shoya Osaki,1039
Ser-Od Bat-Ochir,1039
Williams Julajúj,1039
Kibru Kotu,1039
Sota Hoshi,1038
Getinet Mele Gedamu,1038
Edwin Kimaiyo,1038
Phillip Lagat,1038
Gezahegn Hunde,1038
Peter Le Grice,1038
Yoshiki Nakamura,1038
Hugh Williams,1037
Derese Reta,1037
Mariano Mastromarino,1037
Chris Melgares,1037
Mestan Turhan,1037
Kyle King,1037
Akinobu Murasawa,1036
Joel Reichow,1036
Mohamed Chaaboud,1036
Blair Morgan,1035
Ricardo Ramos Vargas,1035
Ian Butler,1035
David Kemboi Kiyeng,1035
Yoshiki Koizumi,1035
Richard Limo,1035
Takamitsu Hashimoto,1034
Thomas Toth,1034
Joel Kimutai,1034
Willy Ngelel,1034
Aaron Cooper,1034
Yoshiki Kawauchi,1034
Ignas Brasevičius,1034
Mykola Iukhymchuk,1034
John Mason,1034
Bo Zhou,1034
Simon Ndirangu,1034
Min-Yong Choi,1033
Eoghan Totten,1033
Gilmar Silvestre Lopes,1033
Kiprop Tonui,1033
John Kipkorir Komen,1033
Ihor Russ,1033
Bjorn Koreman,1033
Suichi Kondo,1033
Jorge Castelblanco,1033
Greg Billington,1033
Paul Martelletti,1032
Yuta Oikawa,1032
Alex Chesakit,1032
Malcolm Richards,1032
Tigu Sefe Wendemu,1032
Jonah Chesum,1031
Khamis Bakari,1031
Ihor Porozov,1031
Dylan Marx,1031
Paul Navesey,1030
Kazuya Ishida,1030
Masahiro Kawaguchi,1030
Emmanuel Roudolff-Lévisse,1030
Wataru Tochigi,1029
Fernando Cervantes,1029
Guoxiong Su,1029
William Chebon Chebor,1029
Kamil Jastrzębski,1029
Dylan Belles,1029
Masato Takahashi,1029
Takanobu Ando,1029
Mulu Jima,1029
Titus Kwemoi Masai,1029
Simon Holbek,1029
Nuno Lopes,1028
Chunhui Li,1028
Reece Edwards,1028
Tatsunori Hamasaki,1028
Sergio Reyes,1028
